league,group,player,standings_snapshot
Platinum,Group A,Liereyy,1-0 | 3-0
Gold,Group A,Overtaken,0-1 | 0-3
Gold,Group A,Prisma09▲1,2-0 | 4-2
Gold,Group A,Villese▼1,1-1 | 4-2
Gold,Group A,wide▼1,1-1 | 3-3
Gold,Group A,Valas▲2,2-2 | 6-6
Gold,Group A,miguel▼1,1-2 | 4-5
Gold,Group A,wide▲2,3-1 | 8-4
Gold,Group A,Valas▼1,2-2 | 6-6
Gold,Group A,Villese▲1,2-3 | 8-7
Gold,Group B,DauT,1-0 | 3-0
Gold,Group B,Sora Kuma,1-0 | 3-0
Gold,Group B,F1Re,0-1 | 0-3
Gold,Group B,Sobek,0-1 | 0-3
Gold,Group B,Sora Kuma▼1,1-1 | 4-2
Gold,Group B,Capoch,1-0 | 2-1
Gold,Group B,F1Re▲1,0-1 | 0-3
Gold,Group B,Sobek▲1,0-1 | 0-3
Gold,Group B,z40,0-1 | 0-3
Gold,Group B,Sora Kuma▲1,2-1 | 7-2
Gold,Group B,DauT▼1,2-0 | 6-0
Gold,Group B,Capoch▼1,1-0 | 2-1
Gold,Group B,z40▼1,1-1 | 2-4
Gold,Group B,F1Re▼2,0-3 | 1-8
Gold,Group B,DauT▲1,3-1 | 10-2
Gold,Group B,Capoch▲1,4-0 | 9-3
Gold,Group B,z40▲1,1-3 | 3-9
Gold,Group B,Sobek▼2,1-3 | 3-9
Gold,Group B,Capoch▲2,5-0 | 12-3
Gold,Group B,Sora Kuma▼2,3-2 | 11-4
Gold,Group C,JorDan_AoE,1-0 | 3-0
Gold,Group C,KingstoNe,1-0 | 3-0
Gold,Group C,dogao,0-1 | 0-3
Gold,Group C,Uzzi,0-1 | 0-3
Gold,Group C,Margougou,1-0 | 3-0
Gold,Group C,dogao▲2,1-1 | 3-3
Gold,Group C,KingstoNe▼2,1-1 | 3-3
Gold,Group C,Ganji,0-2 | 0-6
Gold,Group C,KingstoNe▼1,2-2 | 6-6
Gold,Group C,dogao▲1,4-1 | 10-5
Gold,Group C,Margougou▼1,2-3 | 9-6
Gold,Group D,classicpro,1-0 | 2-1
Gold,Group D,Kasva,1-0 | 2-1
Gold,Group D,StonePleaseAoE,1-0 | 2-1
Gold,Group D,Daniel,0-1 | 1-2
Gold,Group D,DuDuZhu,0-1 | 1-2
Gold,Group D,Terz,0-1 | 1-2
Gold,Group D,classicpro▼1,2-0 | 4-2
Gold,Group D,Daniel▲1,1-1 | 4-2
Gold,Group D,StonePleaseAoE▼3,1-1 | 3-3
Gold,Group D,DuDuZhu▼1,0-2 | 1-5
Gold,Group D,Terz▼1,0-2 | 1-5
Gold,Group D,Terz▲3,2-2 | 6-6
Gold,Group D,Daniel▼1,1-2 | 5-4
Gold,Group D,StonePleaseAoE▼2,1-2 | 3-6
Gold,Group D,classicpro▲2,3-1 | 8-4
Gold,Group D,Kasva▼1,3-1 | 7-5
Gold,Group D,StonePleaseAoE▲3,2-2 | 6-6
Gold,Group D,StonePleaseAoE▲1,3-2 | 8-7
Silver,Group A,Blve,1-0 | 2-1
Silver,Group A,Target331,1-0 | 2-1
Silver,Group A,Babaorum,0-1 | 1-2
Silver,Group A,NeoZz,0-1 | 1-2
Silver,Group A,AntagonisT,2-0 | 5-1
Silver,Group A,Target331▼3,1-1 | 2-4
Silver,Group A,Babaorum▼2,0-2 | 1-5
Silver,Group A,GoKu,0-2 | 1-5
Silver,Group A,NeoZz▲1,2-1 | 7-2
Silver,Group A,AntagonisT▼2,2-1 | 6-3
Silver,Group A,Babaorum▼1,0-3 | 1-8
Silver,Group A,AntagonisT▲1,3-1 | 8-4
Silver,Group A,NeoZz▼1,2-2 | 8-4
Silver,Group A,NeoZz▲2,3-2 | 11-4
Silver,Group A,Blve▼1,4-1 | 10-5
Silver,Group A,AntagonisT▼1,3-2 | 8-7
Silver,Group B,Combito,1-0 | 3-0
Silver,Group B,Ozone,1-0 | 2-1
Silver,Group B,saymyname,1-0 | 2-1
Silver,Group B,chart,0-1 | 1-2
Silver,Group B,Survivalist,0-1 | 1-2
Silver,Group B,Youpudding,0-1 | 0-3
Silver,Group B,saymyname▲1,2-0 | 5-1
Silver,Group B,Youpudding▲3,1-1 | 3-3
Silver,Group B,Ozone▼2,1-1 | 2-4
Silver,Group B,chart▼1,0-2 | 2-4
Silver,Group B,Survivalist▼2,0-2 | 1-5
Silver,Group B,Combito▼1,2-1 | 6-3
Silver,Group B,Ozone▲1,2-1 | 5-4
Silver,Group B,Youpudding▼1,1-2 | 3-6
Silver,Group B,Survivalist▲1,1-2 | 3-6
Silver,Group B,chart▲1,0-4 | 4-8
Silver,Group B,Survivalist▼1,1-3 | 3-9
Silver,Group C,Whocl,1-0 | 2-1
Silver,Group C,ThunderboltX,1-0 | 2-1
Silver,Group C,Gabi,0-1 | 1-2
Silver,Group C,Monoz,0-1 | 1-2
Silver,Group C,Gabi▲1,1-1 | 4-2
Silver,Group C,Dr.Kozmonot,1-0 | 3-0
Silver,Group C,ThunderboltX▼3,1-1 | 2-4
Silver,Group C,Monoz▼2,0-1 | 1-2
Silver,Group C,Lamo,0-2 | 0-6
Silver,Group C,Dr.Kozmonot▲2,2-1 | 6-3
Silver,Group C,Whocl▼1,2-1 | 6-3
Silver,Group C,ThunderboltX▲1,2-1 | 4-5
Silver,Group C,Gabi▼2,1-1 | 4-2
Silver,Group C,Whocl▲1,3-1 | 9-3
Silver,Group C,Dr.Kozmonot▼1,3-1 | 8-4
Silver,Group C,Monoz▲1,2-2 | 6-6
Silver,Group C,ThunderboltX▼2,2-2 | 4-8
Silver,Group C,Dr.Kozmonot▲1,4-1 | 10-5
Silver,Group D,Bad Koala,1-0 | 3-0
Silver,Group D,St4rk,1-0 | 3-0
Silver,Group D,Nahue05,1-0 | 2-1
Silver,Group D,Dennis,0-1 | 1-2
Silver,Group D,deaKer,0-1 | 0-3
Silver,Group D,m0re,0-1 | 0-3
Silver,Group D,Dennis▲2,1-1 | 4-2
Silver,Group D,Bad Koala▼2,1-1 | 3-3
Silver,Group D,m0re▼1,0-2 | 0-6
Silver,Group D,Bad Koala▲1,2-1 | 5-4
Silver,Group D,Nahue05▲1,2-1 | 5-4
Silver,Group D,Dennis▼2,1-2 | 5-4
Silver,Group D,Nahue05▼1,2-2 | 6-6
Silver,Group D,Dennis▲1,2-3 | 9-6
